"Access the Ice Mountain western scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Participate in ~|Underwater Agility and Thieving|~ for Agility xp","Agility","","","","","ManualTask"
"Participate in ~|Trouble Brewing|~ for Agility xp","Agility","","","","","ManualTask"
"Access the Nemus Retreat wall climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access the cave to the Stalker Den ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Chasm of Fire gap ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Chasm of Fire chain ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Ralos' Rise rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Aldarin rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Tlati Rainforest rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access The Darkfrost rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access The Proudspire lower rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access The Proudspire upper rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Nemus Retreat rock climb ~|shortcut|~","Agility","","","","","ManualTask"
"Operate the pedals at the ~|Blast Furnace|~","Agility","","","","","ManualTask"
"Climb the ~|winch|~ at the digsite","Agility","","","","","ManualTask"
"Access the climbing boots rocks ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Shaman Caves crevice ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Waterbirth Island rocks ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Crandor rocks ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Asgarnian Ice Dungeon tunnel ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Waterbirth Island Dungeon crevice ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Shilo Village rocks ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Wilderness Slayer Cave crevice ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Wilderness Chaos Temple stepping stone ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Stalker Den stepping stone ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Nemus Retreat stepping stone ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Tonali Cavern stepping stone ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Nemus Retreat tunnel ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Barrows dry stone wall ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Pollnivneach stepping stone ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Taverley tree patch climbing rocks ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Lumbridge Swamp Caves stepping stones ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) Karamja volcano ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) escape from the Water Obelisk Island ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) over the River Lum to Al Kharid ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) scale Catherby cliffside ~|shortcut|~","Agility","","","","","ManualTask"
"Access the jump down from Falador Wall ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) scale Falador Wall ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) scale Yanille wall ~|shortcut|~","Agility","","","","","ManualTask"
"Access the (mith grapple) scale the Observatory cliff ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Al Kharid Palace southern window ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Al Kharid mining pit cliffside scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arandar advanced cliffside scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arandar easy cliffside scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arandar medium cliffside scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arceuus essence mine boulder leap ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arceuus essence mine eastern scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arceuus essence mine northern scramble ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Arceuus essence mine western descent ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Ardougne log balance ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Tlati Rainforest log balance ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Auburn Valley log balance ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Tonali Cavern log balance ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Asgarnian Ice Dungeon frozen throne tunnel ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Asgarnian Ice Dungeon wyvern-tunnel ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Brimhaven Dungeon eastern stepping stones ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Brimhaven Dungeon vine to baby green dragons ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Brimhaven Dungeon pipe to moss giants ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Cairn Isle rock slide climb ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Aldarin house window ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Coal Trucks log balance ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Corsair Cove Dungeon ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Corsair Cove ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Mountain Camp boulder ~|shortcut|~","Agility","","","","","ManualTask"
"Access the Cosmic Temple medium narrow walkway ~|shortcut|~","Agility","","","","","ManualTask"
